"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url"
"Q0340","IQ-style","set_reasoning","IQ-set_reasoning","9","A group has 28 members. 12 solve a word puzzle, 13 solve a number puzzle, and 5 solve both. How many solve at least one of the two puzzles?","19","18","20","25","28","C","20","Count each solver once: 12 + 13 − 5 = 20. Subtract the overlap because it was counted twice.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0327","IQ-style","ordering","IQ-ordering","8","Five people each receive a different rank in contest 8. Cy finishes ahead of Bo, Bo ahead of Ari, Ari ahead of Eli, and Eli ahead of Dee. Who finishes fourth?","Ari","Cy","Bo","Dee","Eli","E","Eli","The complete order from first to fifth is Cy, Bo, Ari, Eli, Dee.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0464","IQ-style","number_matrix","IQ-number_matrix","22","In each row, the third number equals the first multiplied by the second. Row 1: 24, 27, 648. Row 2: 27, 25, 675. Row 3: 29, 25, ?. Find the missing entry.","724","726","723","725","728","D","725","Apply the stated row rule: 29 × 25 = 725.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0415","IQ-style","letter_coding","IQ-letter_coding","17","A code shifts every letter 3 places forward in the English alphabet, wrapping Z to A. How is RAIN encoded?","TCKP","WFNS","XGOT","UDLQ","VEMR","D","UDLQ","Shift each letter by 3: R→U, A→D, I→L, N→Q.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0467","IQ-style","ordering","IQ-ordering","22","Five people each receive a different rank in contest 22. Bo finishes ahead of Ari, Ari ahead of Eli, Eli ahead of Dee, and Dee ahead of Cy. Who finishes third?","Eli","Dee","Bo","Ari","Cy","A","Eli","The complete order from first to fifth is Bo, Ari, Eli, Dee, Cy.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0411","IQ-style","number_sequence","IQ-number_sequence","17","The sequence follows a constant-addition rule: 19, 24, 29, 34, 39, ?. What is the missing number?","47","45","42","44","43","D","44","Add 5 each time; 39 + 5 = 44.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0073","LSAT-style","evaluate","LR-evaluate","8","After Harbor Pool introduced online booking, weekly visits increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Was the announcement printed in color?","Did comparable organizations that did not introduce online booking experience a similar increase during the same period?","Do staff prefer morning meetings to afternoon meetings?","Was the director the first person to suggest the change?","Does the organization have a short name?","B","Did comparable organizations that did not introduce online booking experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0013","LSAT-style","evaluate","LR-evaluate","2","After Brook Museum introduced audio guides, average visitor satisfaction increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Was the announcement printed in color?","Do staff prefer morning meetings to afternoon meetings?","Did comparable organizations that did not introduce audio guides experience a similar increase during the same period?","Was the director the first person to suggest the change?","Does the organization have a short name?","C","Did comparable organizations that did not introduce audio guides experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0324","IQ-style","number_matrix","IQ-number_matrix","8","In each row, the third number equals the first multiplied by the second. Row 1: 10, 13, 130. Row 2: 13, 11, 143. Row 3: 15, 11, ?. Find the missing entry.","165","164","168","163","166","A","165","Apply the stated row rule: 15 × 11 = 165.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0498","IQ-style","symbol_operation","IQ-symbol_operation","25","Define the operation a ◆ b as (a × b) + 27. What is 28 ◆ 26?","754","756","755","753","758","C","755","Substitute into the definition: (28 × 26) + 27 = 755.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0347","IQ-style","ordering","IQ-ordering","10","Five people each receive a different rank in contest 10. Eli finishes ahead of Dee, Dee ahead of Cy, Cy ahead of Bo, and Bo ahead of Ari. Who finishes first?","Ari","Dee","Bo","Cy","Eli","E","Eli","The complete order from first to fifth is Eli, Dee, Cy, Bo, Ari.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0405","IQ-style","letter_coding","IQ-letter_coding","16","A code shifts every letter 2 places forward in the English alphabet, wrapping Z to A. How is HILL encoded?","LMPP","IJMM","MNQQ","JKNN","KLOO","D","JKNN","Shift each letter by 2: H→J, I→K, L→N, L→N.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0497","IQ-style","ordering","IQ-ordering","25","Five people each receive a different rank in contest 25. Ari finishes ahead of Bo, Bo ahead of Cy, Cy ahead of Dee, and Dee ahead of Eli. Who finishes first?","Bo","Dee","Cy","Eli","Ari","E","Ari","The complete order from first to fifth is Ari, Bo, Cy, Dee, Eli.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0319","IQ-style","spatial_cubes","IQ-spatial_cubes","7","A solid cube has edge length 78 cm. All six outer faces are painted. It is cut into cubes of edge length 13 cm. How many small cubes have no painted face?","64","125","70","216","65","A","64","There are 6 small cubes per edge. Only the interior cubes are unpainted: (6 − 2)^3 = 64.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0114","LSAT-style","causal_flaw","LR-causal_flaw","12","After Larch Clinic introduced appointment reminders, the proportion of patients arriving on time increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Treats an improvement following a change as enough to establish that the change produced the improvement.","Infers that an event is impossible because it is rare.","Shows that the outcome decreased and then claims it increased.","Rejects the conclusion solely because of the director's character.","Assumes that what is true of every organization must be false of this organization.","A","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0128","LSAT-style","quantifier_inference","LR-quantifier_inference","13","At Maple Market, some of its stalls sells refrigerated products. Every one of its stalls that sells refrigerated products also has electrical service. Which conclusion follows logically?","None of its stalls has electrical service.","Some of its stalls that sells refrigerated products do not satisfy the condition 'has electrical service'.","Every one of its stalls that has electrical service also sells refrigerated products.","Some of its stalls that has electrical service also sells refrigerated products.","Every one of its stalls sells refrigerated products.","D","Some of its stalls that has electrical service also sells refrigerated products.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0444","IQ-style","number_matrix","IQ-number_matrix","20","In each row, the third number equals the first multiplied by the second. Row 1: 22, 25, 550. Row 2: 25, 23, 575. Row 3: 27, 23, ?. Find the missing entry.","620","621","619","622","624","B","621","Apply the stated row rule: 27 × 23 = 621.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0367","IQ-style","ordering","IQ-ordering","12","Five people each receive a different rank in contest 12. Bo finishes ahead of Ari, Ari ahead of Eli, Eli ahead of Dee, and Dee ahead of Cy. Who finishes third?","Bo","Ari","Dee","Eli","Cy","D","Eli","The complete order from first to fifth is Bo, Ari, Eli, Dee, Cy.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0330","IQ-style","set_reasoning","IQ-set_reasoning","8","A group has 26 members. 11 solve a word puzzle, 12 solve a number puzzle, and 4 solve both. How many solve at least one of the two puzzles?","17","19","26","18","23","B","19","Count each solver once: 11 + 12 − 4 = 19. Subtract the overlap because it was counted twice.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0100","LSAT-style","principle_application","LR-principle_application","10","Juniper Workshop adopts this rule: Approve a pilot if, and only if, its total cost is below 8,000 credits and it can be reversed within one month. A pilot of tool reservations costs 3900 credits and can be reversed in two weeks. Which judgment follows from the rule?","Approve this pilot because it satisfies both required conditions.","The rule gives no basis for deciding whether to approve it.","Reject it because reversibility is irrelevant.","Reject it because every pilot must cost nothing.","Approve it only if it is certain to succeed.","A","Approve this pilot because it satisfies both required conditions.","Its cost of 3900 credits is below 8,000, and two weeks is within one month. Both necessary and sufficient conditions hold.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0124","LSAT-style","causal_flaw","LR-causal_flaw","13","After Maple Market introduced loyalty vouchers, weekly purchases increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Rejects the conclusion solely because of the director's character.","Treats an improvement following a change as enough to establish that the change produced the improvement.","Shows that the outcome decreased and then claims it increased.","Assumes that what is true of every organization must be false of this organization.","Infers that an event is impossible because it is rare.","B","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0346","IQ-style","mental_rotation","IQ-mental_rotation","10","A robot faces south. It turns clockwise by 180 degrees, then moves straight ahead 12 metres without turning again. Which direction is it facing?","north","south","east","west","Its direction cannot be determined.","A","north","A 180-degree clockwise turn moves 2 quarter-turns around north, east, south, west. Forward travel does not change orientation.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0373","IQ-style","increasing_differences","IQ-increasing_differences","13","Successive differences increase by 1: 17, 31, 46, 62, 79, ?. Find the next term.","97","96","100","95","98","A","97","The differences are 14, 15, 16, 17; the next is 18. Thus 79 + 18 = 97.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0293","IQ-style","increasing_differences","IQ-increasing_differences","5","Successive differences increase by 1: 9, 15, 22, 30, 39, ?. Find the next term.","48","47","52","49","50","D","49","The differences are 6, 7, 8, 9; the next is 10. Thus 39 + 10 = 49.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0207","LSAT-style","sufficient_assumption","LR-sufficient_assumption","21","At Umber Studio, every one of its projects that uses rented equipment also has a rental agreement. A manager concludes that every one that uses rented equipment also has a budget entry. Which additional premise, if assumed, guarantees the conclusion?","Every one of its projects that has a budget entry also has a rental agreement.","Some of its projects that has a rental agreement also has a budget entry.","Some of its projects that has a budget entry also uses rented equipment.","Every one of its projects that has a budget entry also uses rented equipment.","Every one of its projects that has a rental agreement also has a budget entry.","E","Every one of its projects that has a rental agreement also has a budget entry.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0151","LSAT-style","weaken","LR-weaken","16","After Pine Delivery introduced routing software, the proportion of deliveries completed on time increased. The director concludes that the change caused the increase. Which finding, if true, most weakens the argument?","The organization had kept records before the change.","Some people first heard about the organization several years ago.","The director announced the change in advance.","Staff discussed several other possible changes.","At the same time, roadworks on the main routes ended, which independently tends to increase the measured outcome.","E","At the same time, roadworks on the main routes ended, which independently tends to increase the measured outcome.","A simultaneous change offers an alternative cause of the improvement. The other findings do not explain the increase.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0390","IQ-style","set_reasoning","IQ-set_reasoning","14","A group has 38 members. 17 solve a word puzzle, 18 solve a number puzzle, and 5 solve both. How many solve at least one of the two puzzles?","28","29","38","30","35","D","30","Count each solver once: 17 + 18 − 5 = 30. Subtract the overlap because it was counted twice.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
