"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url","target_time_seconds","timing_status","requires_paper","question_and_choices_word_count"
"R0452","Philosophy / critical thinking","personal_identity_criteria","personal_identity_criteria","7","In this hypothetical account, connected character and memories matter more than the material body. Which criterion is prioritized?","Social or legal recognition","No identity criterion is specified","Continuity of memory or psychology","Similarity of appearance alone","Continuity of the body","C","Continuity of memory or psychology","The account explicitly prioritizes psychological continuity.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","40"
"R0261","Philosophy / critical thinking","circularity","circularity","3","Trust the book because the speaker endorses it; trust the speaker only because the book endorses her. What happens?","A counterexample is offered","A conclusion is asserted without a reason","The support restates the claim","Each claim is supported only by the other","Independent support is offered","D","Each claim is supported only by the other","The two endorsements provide no independent starting point.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","47"
"R0147","LSAT-style","scope_shift","scope_shift","3","The river stayed clean last year, so it will always stay clean. What shift occurs?","Possible becomes certain","Some becomes all","Past becomes permanent","One part becomes the whole","Local becomes universal","C","Past becomes permanent","A past condition is projected indefinitely.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0132","LSAT-style","causal_flaw","causal_flaw","6","Anxious people check messages often, so checking must create anxiety. What alternative direction is ignored?","Treating a possible cause as the only cause","Reversing a possible causal direction","Confusing sequence with causation","Overlooking a common cause","Ignoring selection into the group","B","Reversing a possible causal direction","Anxiety might cause frequent checking.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0348","Philosophy / critical thinking","fact_value_distinction","fact_value_distinction","2","Keeping this promise would be admirable. What kind of claim is this?","A descriptive claim","A descriptive premise alone does not establish an obligation","A definition for this discussion","A recommendation","A value judgment","E","A value judgment","Admirable evaluates the action.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","34"
"R0199","LSAT-style","short_passage_purpose","short_passage_purpose","1","Some silence shows agreement, but silence can also reflect fear. What is this passage doing?","Explain an apparent puzzle","Report a change without arguing","Defend a recommendation","Distinguish two concepts","Qualify an overly broad claim","E","Qualify an overly broad claim","It limits an interpretation that treats all silence as agreement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","35"
"R0399","Philosophy / critical thinking","fairness_under_stated_standards","fairness_under_stated_standards","9","A competition offers accessible application formats but does not promise equal prizes. Which standard is reflected?","Equal opportunity to participate","The standard is not specified","Equal shares","Reward proportional to contribution","Greater help for greater need","A","Equal opportunity to participate","Access to entering is distinguished from equal outcomes.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","36"
"R0044","LSAT-style","resolve_discrepancy","resolve_discrepancy","8","A company has fewer employees but produces more goods. Best explanation?","Production stopped.","Each worker produces less and nothing else changed.","Every machine broke.","All goods were discarded.","New machines automate much of the work.","E","New machines automate much of the work.","Automation can increase output with fewer workers.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","35"
"R0065","LSAT-style","counterexample","counterexample","2","Claim: Anything popular is well made. Counterexample?","A popular product that breaks easily.","An unpopular sturdy product.","A costly product.","A little-known brand.","A popular sturdy product.","A","A popular product that breaks easily.","Popularity together with poor construction challenges the claim.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","27"
"R0405","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","4","Privacy matters and public safety matters, but no priority or solution is given. What is established?","Only a factual question is raised","A value conflict remains unresolved","An individual right limits the choice","Total benefit is treated as decisive","A compromise protects both interests partly","B","A value conflict remains unresolved","Competing values are named without resolving the trade-off.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0323","Philosophy / critical thinking","burden_of_support","burden_of_support","10","I say the painting moved; separate before-and-after images confirm a changed position. What has happened?","The claimant still needs supporting reasons","The evidence directly refutes the universal claim","Both sides are proved correct","The critic has disproved the claim","The claim has been independently supported","E","The claim has been independently supported","The images independently support movement of position.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0138","LSAT-style","sampling_flaw","sampling_flaw","3","A town surveys only drivers about whether everyone needs pavements. Main sampling issue?","No sampling flaw is specified","Only dissatisfied people were sampled","The sample excludes relevant people","One unusual case is overgeneralized","Only satisfied people were sampled","C","The sample excludes relevant people","Pedestrians and non-drivers are directly relevant but excluded.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0280","Philosophy / critical thinking","meaning_and_ambiguity","meaning_and_ambiguity","11","They disagree over whether copying is stealing but never define stealing. What would help first?","A personal preference settles the definition","An ambiguous term needs clarification","A key word changes meaning","The same meaning is used consistently","A factual contradiction is established","B","An ambiguous term needs clarification","Clarifying the disputed concept can expose the real disagreement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0347","Philosophy / critical thinking","fact_value_distinction","fact_value_distinction","1","People often keep promises. What kind of claim is this?","A definition for this discussion","A value judgment","A descriptive premise alone does not establish an obligation","A recommendation","A descriptive claim","E","A descriptive claim","It describes behaviour without yet saying what ought to happen.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0233","Philosophy / critical thinking","fallacy_detection","fallacy_detection","8","The rule deserves obedience because it is a rule that ought to be obeyed. Best assessment?","The reasoning supports the conclusion","The conclusion is simply assumed","A limited claim is exaggerated","Popularity replaces evidence","The person is attacked instead of the argument","B","The conclusion is simply assumed","The reason restates the obligation it is supposed to establish.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0113","LSAT-style","conditional_inference","conditional_inference","5","No signed forms are blank. This form is signed. Claim: It is blank.","Must be true","Must be false","Premises contradict each other","Could be true or false","No factual claim is made","B","Must be false","The general exclusion applies to the signed form.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","33"
"R0158","LSAT-style","argument_flaw_plain_language","argument_flaw_plain_language","5","He wants fewer meetings, so he wants nobody to communicate. What goes wrong?","Attacking the person instead of the reason","Changing the meaning of a key word","Assuming the conclusion in the support","Presenting too few alternatives","Misrepresenting the opposing view","E","Misrepresenting the opposing view","Reducing meetings is exaggerated into eliminating communication.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0266","Philosophy / critical thinking","circularity","circularity","8","The leader is honest because the report says so; the report is reliable solely because the leader says so. What happens?","Independent support is offered","A counterexample is offered","A conclusion is asserted without a reason","The support restates the claim","Each claim is supported only by the other","E","Each claim is supported only by the other","The claims rely exclusively on each other.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","49"
"R0461","Philosophy / critical thinking","freedom_under_stated_definitions","freedom_under_stated_definitions","5","Someone freely chooses to hurt a stranger and concludes the action must therefore be good. Main issue?","The definition changes mid-argument","A moral verdict does not follow just from freedom","Not free under the stipulated definition","The definition needs information not supplied","Free under the stipulated definition","B","A moral verdict does not follow just from freedom","Being voluntary does not establish moral approval.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","47"
"R0022","LSAT-style","strengthen","strengthen","4","A manager says a noisy fan caused complaints. Which supports this?","A window was painted.","Employees like quiet.","Complaints stopped when only the fan was switched off.","The building is old.","The manager works upstairs.","C","Complaints stopped when only the fan was switched off.","Removing only the suspected source supports the explanation.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","35"
"R0194","LSAT-style","plan_vulnerability","plan_vulnerability","5","A help desk judges success by closed tickets and allows closing unresolved requests. Main weakness?","The plan removes a needed resource","People can bypass the plan","The plan addresses the wrong cause","The plan does not reach the target group","The outcome measure can be misleading","E","The outcome measure can be misleading","Closure counts may increase without problems being solved.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","46"
"R0111","LSAT-style","conditional_inference","conditional_inference","3","If it snows, the path closes. The path closes. Claim: It snowed.","Must be true","No factual claim is made","Premises contradict each other","Could be true or false","Must be false","D","Could be true or false","Another cause of closure is not excluded.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0010","LSAT-style","necessary_assumption","necessary_assumption","1","Moving the meeting online will let Ana attend because she cannot travel. What must also be true?","Everyone prefers online meetings.","Travel is always impossible.","The meeting is recorded.","Ana prefers travel.","Ana can join online.","E","Ana can join online.","Without online access, removing travel does not enable Ana to attend.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","36"
"R0469","Philosophy / critical thinking","conceptual_definition_tests","conceptual_definition_tests","2","Define a promise as a communicated commitment. Bo privately thinks about helping but commits to nothing. Assessment?","The definition is too broad for the proposed use","The example fits the stated definition","The definition is too narrow for the proposed use","More information is needed","The example fails a necessary condition","E","The example fails a necessary condition","The required commitment and communication are absent.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","51"
"R0152","LSAT-style","scope_shift","scope_shift","8","The team won previously, so it will never lose. What shift occurs?","Some becomes all","One part becomes the whole","Possible becomes certain","Past becomes permanent","Local becomes universal","D","Past becomes permanent","Previous success does not guarantee permanent success.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","29"
"R0345","Philosophy / critical thinking","epistemic_humility","epistemic_humility","10","The evidence is incomplete; therefore the event definitely did not happen. What move is this?","Accept whichever view is more popular","Treat uncertainty as proof of falsehood","Revise confidence in light of relevant evidence","Treat confidence as proof of truth","Keep the belief regardless of all evidence","B","Treat uncertainty as proof of falsehood","Incomplete evidence does not entail absence of the event.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","47"
"R0359","Philosophy / critical thinking","ethical_principle_application","ethical_principle_application","2","Rule: Never reveal a private message without permission. No permission was given. Under this rule, revealing it is what?","The stated facts are inconsistent","Permitted but not required","The rule alone does not settle it","Forbidden by the stated rule","Required by the stated rule","D","Forbidden by the stated rule","The described action violates the rule's necessary permission condition.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0483","Philosophy / critical thinking","best_philosophical_followup","best_philosophical_followup","5","Someone says 'The outcome is good, so the method is justified.' Best follow-up?","Was the method fashionable?","Are any methods unacceptable despite good outcomes?","Is the outcome easy to describe?","Did the speaker smile?","Who named the plan?","B","Are any methods unacceptable despite good outcomes?","The question probes whether consequences override all constraints.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0070","LSAT-style","counterexample","counterexample","7","Claim: Every rule with exceptions is useless. Counterexample?","A rule nobody knows.","A useless rule with no exceptions.","A useful rule with an emergency exception.","A strict rule.","An unpopular rule.","C","A useful rule with an emergency exception.","It has an exception yet remains useful.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","31"
"R0053","LSAT-style","point_of_disagreement","point_of_disagreement","8","Nia: The rule allows exceptions. Oren: The rule permits none. Disagreement?","Whether exceptions are allowed.","Whether rules are written.","Whether this rule is popular.","When it was adopted.","Who enforces it.","A","Whether exceptions are allowed.","They contradict each other about exceptions.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","31"
"R0392","Philosophy / critical thinking","fairness_under_stated_standards","fairness_under_stated_standards","2","A rule prioritizes people facing the greatest hardship. Which standard does it use?","Greater help for greater need","Equal shares","Reward proportional to contribution","The standard is not specified","Equal opportunity to participate","A","Greater help for greater need","Allocation responds to comparative need.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","33"
"R0052","LSAT-style","point_of_disagreement","point_of_disagreement","7","Lea: Intentions alone determine blame. Mo: Consequences also matter for blame. Disagreement?","Who caused this harm.","Whether consequences matter for blame.","Whether intentions exist.","Whether blame is pleasant.","Whether harm ever occurs.","B","Whether consequences matter for blame.","Mo denies the exclusivity in Lea's claim.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0120","LSAT-style","quantifier_inference","quantifier_inference","3","No dancers here are asleep. Which dancers here are asleep?","At least some, but not necessarily all","Cannot tell whether any","None of the first group","All members of the first group","The premises are inconsistent","C","None of the first group","The premise explicitly excludes all dancers from the asleep group.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","36"
"R0224","LSAT-style","agreement_and_entailment","agreement_and_entailment","8","A: Only members should vote. B: Non-members should also vote. Claim: Non-members should vote.","Only one takes a position on it","They explicitly disagree about it","Both speakers explicitly reject it","Neither takes a position on it","Both speakers explicitly accept it","B","They explicitly disagree about it","A excludes the very voters B includes.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0472","Philosophy / critical thinking","conceptual_definition_tests","conceptual_definition_tests","5","Define deception as intentionally misleading someone. A false statement was made, but intention is unknown. Assessment?","The definition is too narrow for the proposed use","The example fails a necessary condition","The definition is too broad for the proposed use","More information is needed","The example fits the stated definition","D","More information is needed","Falsity alone does not settle the intention requirement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","50"
"R0197","LSAT-style","plan_vulnerability","plan_vulnerability","8","A library shortens checkout queues by discouraging people from borrowing at all. If success means better access, what is wrong with queue length alone?","The outcome measure can be misleading","The plan does not reach the target group","The plan addresses the wrong cause","People can bypass the plan","The plan removes a needed resource","A","The outcome measure can be misleading","Shorter queues may reflect reduced use rather than improved service.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","55"
"R0285","Philosophy / critical thinking","philosophical_counterexample","philosophical_counterexample","5","Claim: Every explanation excuses the action. Best counterexample?","Pardoning a mistake.","Removing a penalty.","Calling an action justified.","Explaining a theft by greed while still condemning it.","Forgiving an apology.","D","Explaining a theft by greed while still condemning it.","An explanation can identify a motive without removing blame.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","30"
"R0159","LSAT-style","argument_flaw_plain_language","argument_flaw_plain_language","6","Her evidence about the leak is worthless because she is annoying. What goes wrong?","Assuming the conclusion in the support","Changing the meaning of a key word","Attacking the person instead of the reason","Presenting too few alternatives","Misrepresenting the opposing view","C","Attacking the person instead of the reason","Annoyance does not refute the evidence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0365","Philosophy / critical thinking","ethical_principle_application","ethical_principle_application","8","Rule: Share emergency supplies according to urgent need. No needs are described. Can we identify who should receive supplies first?","Required by the stated rule","Forbidden by the stated rule","The stated facts are inconsistent","The rule alone does not settle it","Permitted but not required","D","The rule alone does not settle it","The relevant comparison is missing.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","46"
"R0039","LSAT-style","resolve_discrepancy","resolve_discrepancy","3","A road has fewer cars but worse traffic delays. Best explanation?","All lanes were widened.","Construction closed several lanes.","Cars became fewer everywhere.","The road became pedestrian-only.","Every signal was removed.","B","Construction closed several lanes.","Reduced capacity can outweigh reduced traffic volume.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","31"
"R0356","Philosophy / critical thinking","fact_value_distinction","fact_value_distinction","10","Competition occurs in nature, so competing is always morally right. What is missing?","A definition for this discussion","A descriptive claim","A value judgment","A recommendation","A descriptive premise alone does not establish an obligation","E","A descriptive premise alone does not establish an obligation","Natural occurrence alone does not determine moral rightness.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","35"
"R0409","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","8","Allow discussion in a separate room so others can continue working quietly. What approach appears?","A value conflict remains unresolved","Total benefit is treated as decisive","Only a factual question is raised","An individual right limits the choice","A compromise protects both interests partly","E","A compromise protects both interests partly","The proposal accommodates both activities rather than eliminating either.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","44"
"R0311","Philosophy / critical thinking","belief_and_justification","belief_and_justification","9","I correctly predicted rain from a dream alone. What does this show?","Belief can be true without being well justified","The conclusion conflicts with the evidence","The evidence justifies certainty","No belief is being expressed","The evidence supports a tentative belief","A","Belief can be true without being well justified","A successful prediction does not by itself validate its basis.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0025","LSAT-style","strengthen","strengthen","7","A bird watcher blames bright windows for collisions. Which supports this?","The building has elevators.","The windows are costly.","Covering those windows sharply reduced collisions.","Birds sing nearby.","Visitors like the view.","C","Covering those windows sharply reduced collisions.","Changing the suspected hazard reduces the relevant outcome.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0385","Philosophy / critical thinking","consent_reasoning","consent_reasoning","6","Define consent as informed, voluntary agreement. Ari knows the conditions and says yes without pressure. Assessment?","Consent is undermined by missing information","Silence alone does not establish consent","Consent to one thing does not establish consent to another","Consent is undermined by coercion","Consent is established under the stated definition","E","Consent is established under the stated definition","The stated definition is satisfied.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","50"
"R0083","LSAT-style","parallel_reasoning","parallel_reasoning","2","If the gate is locked, entry is blocked. Entry is not blocked, so the gate is not locked. Which matches?","If it rains, paths are wet; paths are wet; it rains.","Some wet paths are muddy; this is wet; muddy.","If it rains, paths are wet; no rain; dry paths.","If it rains, paths are wet; paths are not wet; it is not raining.","It rains; therefore it will rain tomorrow.","D","If it rains, paths are wet; paths are not wet; it is not raining.","Both deny the result to deny the sufficient condition.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","71"
"R0176","LSAT-style","premise_vs_inference","premise_vs_inference","5","In 'Did the warning reach everyone?' what kind of utterance appears?","Definition","Inference drawn from evidence","Recommendation","Observation offered as evidence","Question rather than a claim","E","Question rather than a claim","It asks for information rather than asserting an answer.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","26"
"R0290","Philosophy / critical thinking","philosophical_counterexample","philosophical_counterexample","10","Claim: Every meaningful question has an agreed answer. Best counterexample?","A meaningless string of sounds.","A solved spelling question.","A unanimously accepted fact.","An agreed meeting time.","A clear ethical dilemma with reasoned disagreement.","E","A clear ethical dilemma with reasoned disagreement.","Meaningfulness does not require consensus.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","34"
"R0130","LSAT-style","causal_flaw","causal_flaw","4","People who choose intensive practice perform better, so the practice alone explains the difference. Main gap?","Treating a possible cause as the only cause","Confusing sequence with causation","Overlooking a common cause","Ignoring selection into the group","Reversing a possible causal direction","D","Ignoring selection into the group","Those who choose it may already differ in motivation or skill.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0492","Philosophy / critical thinking","responding_to_objections","responding_to_objections","3","You argue only outcomes matter. A critic raises a harmful intention with a lucky good outcome. Best response?","Address whether intentions have any independent moral weight.","Avoid mentioning the intention.","Describe an unrelated success.","Reject all hypothetical cases without reason.","Claim the critic hates happiness.","A","Address whether intentions have any independent moral weight.","The example tests whether the chosen criterion is sufficient.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0066","LSAT-style","counterexample","counterexample","3","Claim: Nobody learns without a teacher. Counterexample?","A school employs teachers.","A teacher learns from another teacher.","Someone fails a lesson.","Someone teaches herself a new skill.","A pupil attends class.","D","Someone teaches herself a new skill.","Successful self-teaching supplies learning without the required teacher.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","31"
"R0151","LSAT-style","scope_shift","scope_shift","7","The clue could indicate theft, so theft definitely occurred. What shift occurs?","One part becomes the whole","Possible becomes certain","Some becomes all","Local becomes universal","Past becomes permanent","B","Possible becomes certain","One possible interpretation becomes an asserted certainty.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","29"
"R0397","Philosophy / critical thinking","fairness_under_stated_standards","fairness_under_stated_standards","7","A rescue rule sends help first to whoever faces the most urgent danger. Which standard is reflected?","Equal shares","The standard is not specified","Greater help for greater need","Equal opportunity to participate","Reward proportional to contribution","C","Greater help for greater need","Urgency of need determines priority.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","37"
"R0164","LSAT-style","evidence_weight","evidence_weight","2","Claim: The box is empty. Evidence: A visible book is inside it. How does this bear on the claim?","Only repeats the claim","Suggests a competing explanation","Directly counts against the claim","Directly supports the claim","Irrelevant to the claim","C","Directly counts against the claim","A contained object contradicts emptiness.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","40"
"R0312","Philosophy / critical thinking","belief_and_justification","belief_and_justification","10","What would count as evidence against this belief? What stance is expressed by the sentence alone?","Belief can be true without being well justified","The conclusion conflicts with the evidence","The evidence supports a tentative belief","The evidence justifies certainty","No belief is being expressed","E","No belief is being expressed","It asks for a test rather than asserting the belief true or false.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
